Enter the Term,vintage beads,,,,
,,,,,
id,publish time,channel id,title,description,channel
vrWmYXGHlu8,2021-09-13T18:43:20Z,UCSvzb90XLo2f-j7sfwQsrYA,UNBOXING Rare Vintage BEADS &amp; CHARMS! (80s &amp; 90s)/Jewelry Making DIY Crafting Supplies Haul!!,FOLLOW MY TIK TOK: https://www.tiktok.com/@grav3yardgirl shop my depop closet: https://www.depop.com/grav3yardgirl/ this will directly link you to my new ...,banana peppers
bNlg2m7v7uU,2019-07-12T02:23:36Z,UCeZvO_PIyGoqPl_EHiUEhaA,Beads:  the Ancient International Currency,"Often overlooked, ancient beads are abundantly found on the Philippine islands. Beads were the ancient international currency, and the sheer number of similar ...",Kasaysayan Hunters
mcOkBQjmI7o,2020-12-25T16:12:16Z,UCPUqBevT81GAuuCqpqpXROg,Vintage Necklace Haul Vintage beads Japan,"Some of my favorite vintage bead necklaces. thank you for watching subscribing and commenting! Japan , Germany , Lisner and more !",Vintage Discoveries
7h65-8p_LNg,2015-05-08T15:05:36Z,UC_bUcF0Vda0W0K6Ek7ygorw,Show and Tell: Vintage Beads,http://www.beadaholique.com/beads-pendants-charms/vintage-rare - We are so pleased to bring you this gorgeous collection of true vintage beads. Be sure to ...,Beadaholique
BMzoAT7NGdI,2020-09-20T17:42:16Z,UCcjrCFCAZJUkYURMtxwpvmA,Making beautiful beads from antique glass! Recycling our mudlarking trash into treasures!,Join us on our bead-making adventure to find and transform victorian rubbish into beautiful glass beads! NORTHERN MUDLARKS SHOP: ...,Northern Mudlarks
5rdbfF_2dtI,2021-05-03T10:43:35Z,UCfkxuIroZ-WV8jiFtGnXfrQ,Antique Powderglass Beads From West AfricaJamey Allen,"From the mid-19th century through the early-20th century a corpus of glass beads was manufactured, and possibly made for the use of elite persons in Ghana, ...",Galerie Lemaire
qYNh48oYmMg,2020-12-25T08:34:53Z,UCUlH0nn6Nxm-cU5IVpopgEw,Vintage Czech Glass eBay Bead Haul Unboxing!,I love vintage beads! Check out this quick Czech glass bead haul from an eBay auction! Which ones were your fave? My Facebook bead group: ...,Turquoise.Street
opdHEk-Qw64,2021-07-25T23:23:22Z,UCkokghWzZK1_g2nkHs-tCrw,"10,000 Years of Beads - Willow&#39;s Vintage Homestead #21","We're starting off with an unboxing of some antique glass trade beads, then dive deep into a rare assortment of ancient, antique, vintage, and modern beads ...",Willow Polson
4p8ZYtLeqiE,2020-05-18T03:47:42Z,UCAVaG9-OGcSnKqAbruqXWEQ,UNBAGGING 100 YEAR OLD+ GLASS BEADED PURSES FROM FRANCE,Ebay- https://ebay.com/usr/sohocaliforniavintage IG- SOHOCALIFORNIA VINTAGE.,SohoCalifornia Vintage
ofZCRbuSRlw,2021-05-22T17:51:47Z,UCRs165jrdgwmpVzkx9R-38w,Devine Vintage and Antiques: My Crystal and Glass beaded necklace collection,Thank you for your interest! Today I am sharing with you my vintage beaded and crystal necklace collection.,Devine Vintage and Antiques
